,First name,Last name,Username,Password,Caption,Gender,Date of Birth,Phone number,Email,Account number,IFSC Code,Branch,Branch code,Account balance,Address,PAN card number 
1,Siri Reddy,Sangireddy,SSiriReddy,Happy@123,Ms,Female,15-09-2003,8632682574,siri@gmail.com,20241602201,KDIN6789901,JADCHERLA,22033,12000,"H.No.9-97,jadcherla,Mahabubnagar, Telangana ",AAGCC6848J
2,Sreeja Reddy,Appala,Sreeja,hi,Ms,Female,12-06-2002,9412848650,sreeja@gmail.com,20241602202,KDIN9753680,BALANAGAR,21021,51000,"H.No.2-84,laxminagar,Shadnagar, Telangana",VBSHK7903L
3,Vinay Reddy,Guntipally,VinayGReddy,Vinnu@29,Mr,Male,21-08-1999,8428450145,vinay@gmail.com,20241602203,KDIN8658034,BHOOTPUR,11077,75550,"H.No.34-12/3,Nagendranagar, Mahabubnagar,Telangana ",
4,Sriyaan Reddy,Gangolla,GSriyaan,sRiYAnn#22,Mr,Male,15-07-1998,8541284863,sriyaan@gmail.com,20241602204,KDIN5031863,RAMNAGAR,70031,58120,"H.No.241/3,Bhageerata Colony,Mahabubnagar, Telangana",
5,Lavanya,Akkala,ALavanya,Lavs@1234,Ms,Female,24-09-2001,9442048845,lavanya@gmail.com,20241602205,KDIN5068318,GATHWADA,50071,35470,"H.No.131/42,Meeranagar,Hyderabad, Telangana ",
6,Hansika,Bichala,Hansika,Hie@9999,Ms,Female,31-08-2002,9457298465,hansika@gmail.com,20241602206,KDIN8680654,JADCHERLA,22033,30088,"H.No.2-11/3,Jadcherla,Mahabubnagar, Telangana ",
7,Vedavathi,Mulamalla,VedavathiM,Veda@2021,Ms,Female,30-07-2002,8542876045,vedavathi@gmail.com,20241602207,KDIN3695318,KURNOOL,90013,45308,"H.No.21-133,Srinagar,Kurnool, Telangana ",
8,Mounika,Vundhyala,Mounika367,Chinna@1705,Ms,Female,21-04-2001,7516815388,mounika@gmail.com ,20241602208,KDIN6805421,TADIPALLY,20012,38770,"H.No.13-102/4,Marlu, Nizamabad,Telangana ",
9,Nikhitha,Pathulothu,NikithaP,Nikki#987,Ms,Female,29-02-2000,9846681255,nikhitha1@gmail.com,20241602209,KDIN9652268,RAMNAGAR,70031,88646,"H.No.5-10/1,Geetcolony,Ramnagar, Telangana ",
10,Sindhuja,Kyasaram,SindhujaK,sIndHu0#,Ms,Female,19-02-2001,9895465454,sindhuja@gmail.com,20241602210,KDIN3563986,RAMNAGAR,70031,66570,"H.No.4-89/6,Dispur,Ramnagar,Telangana ",
11,Vidhathri,Muddham,VidhathriM,Vidha@54,Ms,Female,27-10-1998,7452688465,vidha@gmail.com,20241602211,KDIN1247843,HELLONAGAR,44011,56438,"H.No.7-02/2,Jillabad,Hellonagar,Telangana ",
12,Akshitha,Bobbala,AkshithaB,Akki@2002,Ms,Female,18-11-1996,9454315848,akki@gmail.com,20241602212,KDIN6542139,KURNOOL,90013,34287,"H.No.6-70,Meerabazar,Kurnool, Telangana ",
13,Padmavati,Aedudotla,PadmavatiA,Paddu##67,Ms,Female,24-08-2001,8342646846,paddu@gmail.com,20241602213,KDIN4289643,BHOOTPUR,11077,66844,"H.No.12-3/3,Ameernagar,Mahabubnagar, Telangana ",
14,Ashwitha,Ravula,AshwithaR,AshvithaR6,Ms,Female,15-07-2002,7151685688,ashwitha@gmail.com ,20241602214,KDIN7905423,MANIKONDA,99022,57801,"H.No.8-67,Shastrinagar,Manikonda,Telangana ",
15,Geethika,Vasireddy,GeethikaV,GeeThu4*,Ms,Female,25-06-2003,8615315945,geethika@gmail.com,20241602215,KDIN6853250,GATHWADA,50071,98465,"H.No.8-90/2,Kohlipur,Gathwada,Telangana ",
16,Sreya,Addula,ASreyaReddy,SreyaaA@07,Ms,Female,17-01-2001,8646464684,sreya@gmail.com,20241602216,KDIN9775436,SULTANPUR,11022,68452,"H.No.1-01/6,Himanagar,Sultanpur, Telangana ",
17,Manaswini,Mallagiri,ManaswiniM,Manomallgiri@474,Ms,Female,30-03-2000,9187665696,manaswini@gmail.com,20241602217,KDIN8843366,TADIPALLY,20012,25800,"H.No.4-05,Raziyabad,Sultanpur,Telangana ",
18,Soumitha,Madupally,SoumithaM,MsoumiTha!7,Ms,Female,19-04-2001,8486453218,soumitha@gmail.com,20241602218,KDIN2352178,FARIDABAD,55011,84630,"H.No.1-00/1,Mohinibad,Faridabad,Telangana ",
19,Lakshmi Chandana,Vannada,LakshmiChandanaV,Lucky@360,Ms,Female,18-02-1999,8965864886,lakshmi@gmail.com,20241602219,KDIN7653389,VIZAG,88077,10100,"H.No.7-54,Necklaceroad,Vizag,Andhrapradesh",
20,Manish,Katta,ManishK,MaNu@21,Mr,Male,26-01-1997,9845848054,manish@gmail.com,20241602220,KDIN9965337,MANIKONDA,99022,56132,"H.No.8-03,Shastrinagar,Manikonda,Telangana ",
